,정상_mean,정상_std,불량_mean,불량_std,평균차이(불량-정상),차이비율(%)
Injection_Time,7.0889,4.2291,4.8259,5.5338,-2.263,-31.92
Filling_Time,3.2904,2.0112,2.378,3.1752,-0.9125,-27.73
Plasticizing_Time,12.4504,7.3984,8.0356,8.4808,-4.4149,-35.46
Cycle_Time,44.0734,26.1222,28.9852,30.2282,-15.0883,-34.23
Clamp_Close_Time,5.2624,3.1662,3.7439,3.3591,-1.5185,-28.86
Cushion_Position,483.6557,286.575,314.3319,328.8063,-169.3238,-35.01
Plasticizing_Position,50.61,30.0032,33.3564,34.2687,-17.2536,-34.09
Clamp_Open_Position,477.3175,285.1556,311.9952,325.79,-165.3223,-34.64
Max_Injection_Speed,41.108,24.3834,25.4058,25.9502,-15.7023,-38.2
Max_Screw_RPM,22.7041,13.4629,14.7885,15.4779,-7.9156,-34.86
Average_Screw_RPM,92.2914,121.863,134.3099,145.9943,42.0184,45.53
Max_Injection_Pressure,105.1677,62.3354,68.6939,72.2504,-36.4739,-34.68
Max_Switch_Over_Pressure,101.0318,59.8736,67.3323,69.9365,-33.6995,-33.36
Max_Back_Pressure,27.9895,16.6384,20.4372,23.1514,-7.5523,-26.98
Average_Back_Pressure,43.9114,26.189,30.2742,32.6827,-13.6372,-31.06
Barrel_Temperature_1,204.2594,121.0456,132.8564,138.8835,-71.403,-34.96
Barrel_Temperature_2,203.6453,120.6765,132.4301,138.4282,-71.2152,-34.97
Barrel_Temperature_3,203.4389,120.5546,132.4592,138.3873,-70.9797,-34.89
Barrel_Temperature_4,200.0541,118.552,130.3205,136.0696,-69.7336,-34.86
Barrel_Temperature_5,188.6839,111.8082,122.9481,128.1902,-65.7358,-34.84
Barrel_Temperature_6,170.2165,100.8613,110.7314,115.5292,-59.4851,-34.95
Hopper_Temperature,49.3471,29.3155,31.4792,33.2583,-17.8679,-36.21
Mold_Temperature_3,16.3342,9.7479,11.1145,11.2733,-5.2197,-31.96
Mold_Temperature_4,17.3676,10.3745,12.0521,12.2399,-5.3155,-30.61
